Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2020,7,15,19,28,17,-99.989997,-99.989997,-99.989997,4,1,45,34.59
2020,7,15,19,29,16,-99.989997,-99.989997,-99.989997,4,1,45,34.59
2020,7,15,19,30,16,-99.989997,-99.989997,-99.989997,4,1,45,41.28
2020,7,15,19,31,17,-99.989997,-99.989997,-99.989997,4,1,45,34.59
2020,7,15,19,32,17,-99.989997,-99.989997,-99.989997,4,1,45,41.28
2020,7,15,19,33,17,-99.989997,-99.989997,-99.989997,4,1,45,28.12
2020,7,15,19,34,17,-99.989997,-99.989997,-99.989997,4,1,45,21.44
2020,7,15,19,35,17,-99.989997,-99.989997,-99.989997,4,1,45,21.44
2020,7,15,19,36,17,-99.989997,-99.989997,-99.989997,4,1,45,28.12
2020,7,15,19,37,17,-99.989997,-99.989997,-99.989997,4,1,45,25.96
2020,7,15,19,38,16,-99.989997,-99.989997,-99.989997,4,1,45,36.96
2020,7,15,19,39,16,-99.989997,-99.989997,-99.989997,4,1,45,41.48
2020,7,15,19,40,16,-99.989997,-99.989997,-99.989997,4,1,45,39.33
2020,7,15,19,41,17,-99.989997,-99.989997,-99.989997,4,1,45,39.33
2020,7,15,19,42,17,-99.989997,-99.989997,-99.989997,4,1,45,41.48
2020,7,15,19,43,17,-99.989997,-99.989997,-99.989997,4,1,45,34.80
2020,7,15,19,44,17,-99.989997,-99.989997,-99.989997,4,1,45,36.96
2020,7,15,19,45,17,-99.989997,-99.989997,-99.989997,4,1,45,39.12
2020,7,15,19,46,17,-99.989997,-99.989997,-99.989997,4,1,45,39.12
2020,7,15,19,47,16,-99.989997,-99.989997,-99.989997,4,1,45,32.44
2020,7,15,19,48,17,-99.989997,-99.989997,-99.989997,4,1,45,30.28
2020,7,15,19,49,17,-99.989997,-99.989997,-99.989997,4,1,45,21.44
2020,7,15,19,50,17,-99.989997,-99.989997,-99.989997,4,1,45,12.59
2020,7,15,19,51,17,-99.989997,-99.989997,-99.989997,4,1,45,10.44
2020,7,15,19,52,17,-99.989997,-99.989997,-99.989997,4,1,45,17.12
2020,7,15,19,53,17,-99.989997,-99.989997,-99.989997,4,1,45,19.28
2020,7,15,19,54,17,-99.989997,-99.989997,-99.989997,4,1,45,25.96
2020,7,15,19,55,16,-99.989997,-99.989997,-99.989997,4,1,45,25.96
2020,7,15,19,56,17,-99.989997,-99.989997,-99.989997,4,1,45,19.28
2020,7,15,19,57,17,-99.989997,-99.989997,-99.989997,4,1,45,17.12
2020,7,15,19,58,17,-99.989997,-99.989997,-99.989997,4,1,45,21.64
2020,7,15,19,59,17,-99.989997,-99.989997,-99.989997,4,1,45,23.80
2020,7,15,20,0,17,-99.989997,-99.989997,-99.989997,4,1,45,32.64
2020,7,15,20,1,17,-99.989997,-99.989997,-99.989997,4,1,45,32.64
2020,7,15,20,2,16,-99.989997,-99.989997,-99.989997,4,1,45,25.96
2020,7,15,20,3,16,-99.989997,-99.989997,-99.989997,4,1,45,19.28
2020,7,15,20,4,16,-99.989997,-99.989997,-99.989997,4,1,45,17.12
2020,7,15,20,5,17,-99.989997,-99.989997,-99.989997,4,1,45,8.28
